Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Jaundice,yellowish_skin,weight_loss,high_fever,itching,fatigue,abdominal_pain,vomiting,swollen_blood_vessels,,,,,,,,,
Jaundice,itching,fatigue,dark_urine,weight_loss,high_fever,cough,,,,,,,,,,,
Jaundice,itching,high_fever,fatigue,yellowish_skin,abdominal_pain,foul_smell_of_urine,,,,,,,,,,,
Jaundice,abdominal_pain,dark_urine,fatigue,yellowish_skin,high_fever,,,,,,,,,,,,
Jaundice,abdominal_pain,yellowish_skin,itching,high_fever,fatigue,vomiting,weight_loss,dischromic_patches,,,,,,,,,
Jaundice,dark_urine,itching,vomiting,abdominal_pain,fatigue,,,,,,,,,,,,
Jaundice,high_fever,dark_urine,weight_loss,fatigue,yellowish_skin,itching,abdominal_pain,blurred_and_distorted_vision,puffy_face_and_eyes,,,,,,,,
Jaundice,weight_loss,itching,yellowish_skin,fatigue,vomiting,abdominal_pain,high_fever,loss_of_balance,nodal_skin_eruptions,,,,,,,,
Jaundice,yellowish_skin,dark_urine,high_fever,fatigue,itching,loss_of_appetite,prominent_veins_on_calf,,,,,,,,,,
Jaundice,weight_loss,yellowish_skin,fatigue,vomiting,high_fever,itching,,,,,,,,,,,
Jaundice,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,itching,abdominal_pain,dizziness,,,,,,,,,
Jaundice,abdominal_pain,dark_urine,high_fever,itching,vomiting,irritability,acute_liver_failure,,,,,,,,,,
Malaria,headache,nausea,vomiting,sweating,diarrhoea,muscle_pain,high_fever,silver_like_dusting,,,,,,,,,
Malaria,sweating,high_fever,diarrhoea,chills,muscle_pain,vomiting,headache,brittle_nails,,,,,,,,,
Malaria,headache,nausea,vomiting,diarrhoea,chills,high_fever,muscle_pain,swelled_lymph_nodes,continuous_feel_of_urine,,,,,,,,
Malaria,vomiting,headache,nausea,high_fever,sweating,diarrhoea,chills,itching,weight_gain,,,,,,,,
Malaria,high_fever,sweating,muscle_pain,headache,nausea,diarrhoea,,,,,,,,,,,
Malaria,nausea,muscle_pain,chills,high_fever,vomiting,headache,diarrhoea,abdominal_pain,cramps,,,,,,,,
Malaria,high_fever,muscle_pain,headache,nausea,vomiting,diarrhoea,chills,,,,,,,,,,
Malaria,chills,sweating,headache,muscle_pain,vomiting,nausea,,,,,,,,,,,
Malaria,muscle_pain,diarrhoea,chills,nausea,high_fever,vomiting,sweating,,,,,,,,,,
Malaria,chills,high_fever,nausea,vomiting,diarrhoea,headache,,,,,,,,,,,
Malaria,muscle_pain,chills,headache,high_fever,vomiting,sweating,diarrhoea,redness_of_eyes,continuous_feel_of_urine,,,,,,,,
Malaria,muscle_pain,chills,sweating,diarrhoea,nausea,high_fever,foul_smell_of_urine,cough,,,,,,,,,
Malaria,headache,high_fever,vomiting,diarrhoea,muscle_pain,sweating,red_sore_around_nose,spotting_urination,,,,,,,,,
Malaria,headache,high_fever,chills,vomiting,diarrhoea,sweating,,,,,,,,,,,
Malaria,vomiting,nausea,muscle_pain,headache,sweating,high_fever,diarrhoea,,,,,,,,,,
Malaria,headache,nausea,diarrhoea,high_fever,sweating,chills,scurring,yellow_urine,,,,,,,,,
Malaria,headache,vomiting,high_fever,muscle_pain,nausea,sweating,chills,,,,,,,,,,
Malaria,vomiting,headache,nausea,diarrhoea,chills,muscle_pain,,,,,,,,,,,
Malaria,high_fever,muscle_pain,diarrhoea,nausea,vomiting,chills,sweating,,,,,,,,,,
Malaria,high_fever,headache,diarrhoea,sweating,nausea,,,,,,,,,,,,
Malaria,headache,sweating,high_fever,diarrhoea,chills,nausea,shivering,sunken_eyes,,,,,,,,,
Malaria,diarrhoea,vomiting,sweating,muscle_pain,chills,weakness_in_limbs,shivering,,,,,,,,,,
Malaria,headache,vomiting,chills,diarrhoea,sweating,muscle_pain,high_fever,receiving_unsterile_injections,,,,,,,,,
Malaria,diarrhoea,sweating,muscle_pain,high_fever,chills,nausea,vomiting,drying_and_tingling_lips,,,,,,,,,
Malaria,chills,muscle_pain,nausea,high_fever,sweating,diarrhoea,vomiting,,,,,,,,,,
Malaria,headache,chills,diarrhoea,nausea,high_fever,drying_and_tingling_lips,,,,,,,,,,,
Malaria,diarrhoea,nausea,chills,high_fever,vomiting,headache,,,,,,,,,,,
Malaria,sweating,vomiting,chills,muscle_pain,diarrhoea,nausea,,,,,,,,,,,
Malaria,chills,headache,vomiting,diarrhoea,nausea,,,,,,,,,,,,
Malaria,muscle_pain,high_fever,vomiting,nausea,chills,sweating,spinning_movements,passage_of_gases,,,,,,,,,
Malaria,sweating,muscle_pain,high_fever,headache,vomiting,nausea,diarrhoea,dark_urine,,,,,,,,,
Malaria,diarrhoea,vomiting,high_fever,muscle_pain,sweating,headache,swelling_of_stomach,,,,,,,,,,
Malaria,diarrhoea,high_fever,vomiting,sweating,muscle_pain,chills,headache,,,,,,,,,,
Malaria,muscle_pain,diarrhoea,sweating,chills,high_fever,vomiting,headache,receiving_blood_transfusion,,,,,,,,,
Malaria,muscle_pain,nausea,vomiting,sweating,diarrhoea,headache,chills,malaise,,,,,,,,,
Malaria,diarrhoea,muscle_pain,headache,vomiting,sweating,,,,,,,,,,,,
Malaria,sweating,muscle_pain,nausea,chills,diarrhoea,vomiting,headache,fluid_overload.1,,,,,,,,,
Malaria,diarrhoea,muscle_pain,sweating,headache,chills,vomiting,high_fever,knee_pain,,,,,,,,,
Malaria,vomiting,nausea,sweating,headache,high_fever,chills,diarrhoea,yellow_crust_ooze,polyuria,,,,,,,,
Malaria,chills,muscle_pain,high_fever,sweating,diarrhoea,headache,depression,anxiety,,,,,,,,,
Malaria,vomiting,sweating,headache,muscle_pain,passage_of_gases,pus_filled_pimples,,,,,,,,,,,
Malaria,nausea,diarrhoea,headache,vomiting,chills,,,,,,,,,,,,
Malaria,diarrhoea,nausea,sweating,high_fever,chills,blurred_and_distorted_vision,,,,,,,,,,,
Malaria,vomiting,sweating,chills,headache,diarrhoea,nausea,high_fever,,,,,,,,,,
Malaria,nausea,diarrhoea,sweating,muscle_pain,chills,high_fever,vomiting,,,,,,,,,,
Malaria,muscle_pain,chills,high_fever,vomiting,nausea,,,,,,,,,,,,
Malaria,chills,muscle_pain,nausea,diarrhoea,sweating,high_fever,vomiting,,,,,,,,,,
Malaria,sweating,chills,nausea,high_fever,muscle_pain,vomiting,headache,,,,,,,,,,
Malaria,headache,vomiting,sweating,diarrhoea,nausea,,,,,,,,,,,,
Malaria,sweating,vomiting,headache,nausea,diarrhoea,muscle_pain,chills,ulcers_on_tongue,,,,,,,,,
Malaria,vomiting,chills,diarrhoea,sweating,muscle_pain,high_fever,headache,,,,,,,,,,
Malaria,nausea,chills,headache,vomiting,diarrhoea,,,,,,,,,,,,
Malaria,high_fever,headache,sweating,muscle_pain,diarrhoea,nausea,scurring,enlarged_thyroid,,,,,,,,,
Malaria,vomiting,nausea,diarrhoea,sweating,high_fever,bladder_discomfort,,,,,,,,,,,
Malaria,muscle_pain,chills,headache,sweating,vomiting,diarrhoea,nausea,,,,,,,,,,
Malaria,chills,nausea,muscle_pain,headache,high_fever,diarrhoea,sweating,,,,,,,,,,
Malaria,vomiting,muscle_pain,headache,high_fever,sweating,diarrhoea,sinus_pressure,foul_smell_of_urine,,,,,,,,,
Malaria,muscle_pain,sweating,vomiting,high_fever,chills,sinus_pressure,,,,,,,,,,,
Malaria,muscle_pain,diarrhoea,vomiting,sweating,headache,,,,,,,,,,,,
Malaria,nausea,vomiting,high_fever,sweating,headache,diarrhoea,pain_in_anal_region,,,,,,,,,,
Malaria,headache,high_fever,sweating,chills,vomiting,nausea,watering_from_eyes,skin_peeling,,,,,,,,,
Malaria,muscle_pain,chills,sweating,high_fever,vomiting,dehydration,loss_of_appetite,,,,,,,,,,
Malaria,headache,muscle_pain,sweating,diarrhoea,high_fever,,,,,,,,,,,,
Malaria,chills,high_fever,headache,muscle_pain,vomiting,nausea,sweating,puffy_face_and_eyes,,,,,,,,,
Malaria,vomiting,chills,headache,diarrhoea,high_fever,muscle_pain,,,,,,,,,,,
Malaria,muscle_pain,sweating,headache,diarrhoea,high_fever,nausea,fast_heart_rate,,,,,,,,,,
Malaria,diarrhoea,sweating,headache,chills,muscle_pain,nausea,,,,,,,,,,,
Malaria,sweating,headache,chills,muscle_pain,vomiting,diarrhoea,nausea,,,,,,,,,,
Malaria,nausea,chills,vomiting,headache,sweating,diarrhoea,muscle_pain,fatigue,phlegm,,,,,,,,
Malaria,nausea,vomiting,headache,sweating,high_fever,chills,,,,,,,,,,,
Malaria,sweating,vomiting,headache,muscle_pain,nausea,high_fever,chills,,,,,,,,,,
Malaria,high_fever,nausea,sweating,headache,vomiting,muscle_pain,diarrhoea,family_history,bloody_stool,,,,,,,,
Malaria,muscle_pain,vomiting,headache,chills,sweating,irritation_in_anus,,,,,,,,,,,
Malaria,muscle_pain,headache,chills,sweating,vomiting,,,,,,,,,,,,
Malaria,high_fever,diarrhoea,nausea,sweating,muscle_pain,chills,headache,,,,,,,,,,
Malaria,chills,vomiting,sweating,headache,high_fever,muscle_pain,silver_like_dusting,,,,,,,,,,
Malaria,diarrhoea,vomiting,muscle_pain,headache,chills,high_fever,weight_loss,,,,,,,,,,
Malaria,vomiting,high_fever,diarrhoea,nausea,sweating,extra_marital_contacts,fluid_overload,,,,,,,,,,
Malaria,muscle_pain,chills,diarrhoea,vomiting,sweating,sinus_pressure,stomach_bleeding,,,,,,,,,,
Malaria,high_fever,sweating,headache,diarrhoea,nausea,history_of_alcohol_consumption,,,,,,,,,,,
Malaria,muscle_pain,nausea,chills,high_fever,diarrhoea,dark_urine,swollen_extremeties,,,,,,,,,,
Malaria,diarrhoea,chills,muscle_pain,high_fever,sweating,vomiting,nausea,,,,,,,,,,
Malaria,high_fever,nausea,sweating,vomiting,chills,diarrhoea,,,,,,,,,,,
Malaria,headache,sweating,high_fever,nausea,chills,diarrhoea,obesity,,,,,,,,,,
Malaria,vomiting,diarrhoea,headache,muscle_pain,high_fever,sweating,chills,receiving_unsterile_injections,weakness_in_limbs,,,,,,,,
Malaria,nausea,muscle_pain,vomiting,diarrhoea,sweating,high_fever,chills,sinus_pressure,mucoid_sputum,,,,,,,,
Malaria,high_fever,chills,nausea,sweating,muscle_pain,headache,,,,,,,,,,,
Malaria,high_fever,nausea,sweating,diarrhoea,chills,,,,,,,,,,,,
Malaria,sweating,headache,diarrhoea,high_fever,chills,vomiting,dark_urine,skin_peeling,,,,,,,,,
Malaria,headache,muscle_pain,diarrhoea,nausea,vomiting,chills,unsteadiness,redness_of_eyes,,,,,,,,,
Malaria,nausea,chills,high_fever,headache,sweating,diarrhoea,vomiting,shivering,loss_of_balance,,,,,,,,
Malaria,chills,high_fever,diarrhoea,headache,vomiting,,,,,,,,,,,,
Malaria,high_fever,muscle_pain,diarrhoea,headache,vomiting,chills,slurred_speech,,,,,,,,,,
Malaria,nausea,sweating,vomiting,headache,diarrhoea,chills,,,,,,,,,,,
Malaria,vomiting,high_fever,nausea,chills,muscle_pain,sweating,,,,,,,,,,,
Malaria,headache,diarrhoea,vomiting,nausea,muscle_pain,sweating,,,,,,,,,,,
Malaria,chills,diarrhoea,headache,nausea,vomiting,muscle_pain,puffy_face_and_eyes,,,,,,,,,,
Malaria,headache,sweating,high_fever,diarrhoea,nausea,,,,,,,,,,,,
Malaria,muscle_pain,chills,vomiting,diarrhoea,sweating,congestion,joint_pain,,,,,,,,,,
Malaria,nausea,vomiting,sweating,muscle_pain,high_fever,pain_during_bowel_motions,runny_nose,,,,,,,,,,
Malaria,chills,nausea,muscle_pain,headache,diarrhoea,vomiting,passage_of_gases,,,,,,,,,,
Malaria,nausea,vomiting,muscle_pain,chills,sweating,headache,diarrhoea,stiff_neck,prominent_veins_on_calf,,,,,,,,
Malaria,high_fever,nausea,sweating,chills,headache,swollen_blood_vessels,,,,,,,,,,,
Malaria,diarrhoea,nausea,vomiting,sweating,headache,chills,,,,,,,,,,,
Malaria,sweating,muscle_pain,diarrhoea,vomiting,chills,headache,nausea,,,,,,,,,,
Malaria,vomiting,headache,nausea,muscle_pain,diarrhoea,sweating,chills,weight_gain,,,,,,,,,
Malaria,vomiting,sweating,high_fever,diarrhoea,headache,muscle_pain,,,,,,,,,,,
Malaria,vomiting,nausea,chills,muscle_pain,diarrhoea,sweating,,,,,,,,,,,
Malaria,sweating,nausea,diarrhoea,muscle_pain,high_fever,headache,vomiting,neck_pain,,,,,,,,,
Malaria,muscle_pain,chills,high_fever,nausea,diarrhoea,sweating,vomiting,,,,,,,,,,
Malaria,high_fever,sweating,vomiting,diarrhoea,nausea,fluid_overload,,,,,,,,,,,
Malaria,headache,high_fever,sweating,diarrhoea,vomiting,muscle_pain,chills,itching,,,,,,,,,
Malaria,chills,nausea,high_fever,sweating,vomiting,muscle_pain,headache,depression,ulcers_on_tongue,,,,,,,,
Malaria,nausea,muscle_pain,headache,chills,diarrhoea,high_fever,hip_joint_pain,movement_stiffness,,,,,,,,,
Malaria,sweating,nausea,headache,muscle_pain,chills,family_history,,,,,,,,,,,
Malaria,diarrhoea,high_fever,vomiting,nausea,muscle_pain,sweating,headache,redness_of_eyes,spinning_movements,,,,,,,,
Malaria,vomiting,muscle_pain,headache,sweating,chills,,,,,,,,,,,,
Malaria,muscle_pain,headache,vomiting,high_fever,sweating,nausea,chills,,,,,,,,,,
Malaria,muscle_pain,vomiting,diarrhoea,sweating,chills,headache,nausea,burning_micturition,bladder_discomfort,,,,,,,,
Malaria,sweating,vomiting,muscle_pain,diarrhoea,nausea,chills,,,,,,,,,,,
Chicken pox,mild_fever,headache,malaise,red_spots_over_body,fatigue,itching,phlegm,swelled_lymph_nodes,lethargy,high_fever,loss_of_appetite,burning_micturition,,,,,
Chicken pox,loss_of_appetite,itching,fatigue,mild_fever,phlegm,malaise,red_spots_over_body,swelled_lymph_nodes,lethargy,headache,obesity,,,,,,
Chicken pox,red_spots_over_body,headache,phlegm,lethargy,malaise,itching,fatigue,skin_rash,mild_fever,loss_of_appetite,high_fever,weakness_of_one_body_side,,,,,
Chicken pox,high_fever,red_spots_over_body,skin_rash,headache,phlegm,loss_of_appetite,lethargy,swelled_lymph_nodes,malaise,restlessness,,,,,,,
Chicken pox,itching,mild_fever,malaise,lethargy,red_spots_over_body,loss_of_appetite,swelled_lymph_nodes,fatigue,phlegm,headache,,,,,,,
Chicken pox,mild_fever,lethargy,itching,headache,red_spots_over_body,loss_of_appetite,skin_rash,fatigue,swelled_lymph_nodes,malaise,high_fever,neck_pain,acute_liver_failure,,,,
Chicken pox,loss_of_appetite,red_spots_over_body,itching,headache,mild_fever,phlegm,malaise,lethargy,skin_rash,skin_peeling,,,,,,,
Chicken pox,mild_fever,red_spots_over_body,fatigue,headache,skin_rash,malaise,high_fever,swelled_lymph_nodes,increased_appetite,,,,,,,,
Chicken pox,red_spots_over_body,itching,fatigue,loss_of_appetite,high_fever,mild_fever,lethargy,phlegm,malaise,,,,,,,,
Chicken pox,red_spots_over_body,high_fever,lethargy,phlegm,mild_fever,skin_rash,malaise,fatigue,headache,swelled_lymph_nodes,sinus_pressure,cough,,,,,
Chicken pox,red_spots_over_body,phlegm,high_fever,headache,swelled_lymph_nodes,fatigue,skin_rash,skin_peeling,belly_pain,,,,,,,,
Chicken pox,itching,phlegm,red_spots_over_body,loss_of_appetite,skin_rash,high_fever,malaise,swelled_lymph_nodes,,,,,,,,,
Chicken pox,high_fever,lethargy,malaise,headache,skin_rash,fatigue,loss_of_appetite,,,,,,,,,,
Chicken pox,red_spots_over_body,lethargy,skin_rash,mild_fever,malaise,loss_of_appetite,headache,phlegm,high_fever,,,,,,,,
Chicken pox,malaise,fatigue,high_fever,phlegm,itching,skin_rash,loss_of_appetite,headache,,,,,,,,,
Chicken pox,headache,red_spots_over_body,high_fever,swelled_lymph_nodes,malaise,itching,skin_rash,loss_of_appetite,,,,,,,,,
Chicken pox,lethargy,headache,fatigue,itching,loss_of_appetite,red_spots_over_body,skin_rash,malaise,phlegm,,,,,,,,
Chicken pox,mild_fever,malaise,swelled_lymph_nodes,red_spots_over_body,phlegm,fatigue,lethargy,itching,irritability,small_dents_in_nails,,,,,,,
Chicken pox,headache,red_spots_over_body,fatigue,malaise,skin_rash,itching,swelled_lymph_nodes,loss_of_appetite,irritation_in_anus,altered_sensorium,,,,,,,
Chicken pox,phlegm,skin_rash,lethargy,mild_fever,headache,high_fever,swelled_lymph_nodes,fatigue,itching,malaise,burning_micturition,,,,,,
Chicken pox,high_fever,malaise,loss_of_appetite,red_spots_over_body,mild_fever,itching,lethargy,fatigue,,,,,,,,,
Chicken pox,mild_fever,fatigue,lethargy,malaise,skin_rash,headache,high_fever,itching,red_spots_over_body,phlegm,watering_from_eyes,pain_in_anal_region,,,,,
Chicken pox,phlegm,red_spots_over_body,swelled_lymph_nodes,itching,skin_rash,mild_fever,high_fever,lethargy,fatigue,loss_of_appetite,,,,,,,
Chicken pox,red_spots_over_body,headache,itching,phlegm,high_fever,malaise,lethargy,mild_fever,blood_in_sputum,pain_during_bowel_motions,,,,,,,
Chicken pox,mild_fever,skin_rash,loss_of_appetite,headache,itching,lethargy,high_fever,,,,,,,,,,
Chicken pox,fatigue,swelled_lymph_nodes,mild_fever,itching,skin_rash,phlegm,high_fever,loss_of_appetite,lethargy,red_spots_over_body,,,,,,,
Chicken pox,high_fever,phlegm,malaise,red_spots_over_body,loss_of_appetite,fatigue,headache,itching,mild_fever,cramps,,,,,,,
Chicken pox,headache,lethargy,swelled_lymph_nodes,loss_of_appetite,mild_fever,high_fever,itching,irregular_sugar_level,,,,,,,,,
Chicken pox,red_spots_over_body,phlegm,skin_rash,swelled_lymph_nodes,fatigue,lethargy,itching,headache,high_fever,mild_fever,malaise,movement_stiffness,,,,,
Chicken pox,phlegm,skin_rash,headache,malaise,itching,loss_of_appetite,swelled_lymph_nodes,high_fever,,,,,,,,,
Chicken pox,itching,swelled_lymph_nodes,fatigue,headache,mild_fever,malaise,high_fever,red_spots_over_body,phlegm,spotting_urination,,,,,,,
Chicken pox,swelled_lymph_nodes,headache,red_spots_over_body,skin_rash,mild_fever,high_fever,phlegm,loss_of_appetite,stomach_bleeding,bloody_stool,,,,,,,
Chicken pox,mild_fever,malaise,high_fever,lethargy,loss_of_appetite,fatigue,swelled_lymph_nodes,red_spots_over_body,phlegm,headache,itching,bruising,irritability,,,,
Chicken pox,red_spots_over_body,malaise,itching,fatigue,lethargy,high_fever,mild_fever,swelled_lymph_nodes,skin_rash,headache,loss_of_appetite,abnormal_menstruation,,,,,
Chicken pox,mild_fever,high_fever,red_spots_over_body,itching,swelled_lymph_nodes,malaise,headache,lethargy,blister,altered_sensorium,,,,,,,
Chicken pox,mild_fever,headache,high_fever,malaise,loss_of_appetite,red_spots_over_body,phlegm,fatigue,swelled_lymph_nodes,bruising,,,,,,,
Chicken pox,itching,phlegm,mild_fever,swelled_lymph_nodes,high_fever,malaise,lethargy,headache,red_spots_over_body,loss_of_appetite,skin_rash,pus_filled_pimples,,,,,
Chicken pox,skin_rash,loss_of_appetite,malaise,itching,high_fever,mild_fever,fatigue,red_spots_over_body,fluid_overload,movement_stiffness,,,,,,,
Chicken pox,mild_fever,phlegm,red_spots_over_body,headache,high_fever,loss_of_appetite,swelled_lymph_nodes,skin_rash,lethargy,malaise,itching,,,,,,
Chicken pox,itching,swelled_lymph_nodes,fatigue,loss_of_appetite,malaise,high_fever,headache,vomiting,weight_loss,,,,,,,,
Chicken pox,fatigue,skin_rash,phlegm,mild_fever,headache,itching,high_fever,swelled_lymph_nodes,malaise,red_spots_over_body,pain_during_bowel_motions,,,,,,
Chicken pox,skin_rash,malaise,lethargy,loss_of_appetite,fatigue,itching,red_spots_over_body,swelled_lymph_nodes,phlegm,high_fever,mild_fever,,,,,,
Chicken pox,lethargy,high_fever,fatigue,loss_of_appetite,headache,mild_fever,phlegm,skin_rash,red_spots_over_body,itching,yellowing_of_eyes,,,,,,
Chicken pox,phlegm,loss_of_appetite,fatigue,malaise,lethargy,swelled_lymph_nodes,itching,red_spots_over_body,,,,,,,,,
Chicken pox,loss_of_appetite,red_spots_over_body,mild_fever,high_fever,phlegm,swelled_lymph_nodes,lethargy,,,,,,,,,,
Chicken pox,skin_rash,phlegm,high_fever,lethargy,red_spots_over_body,swelled_lymph_nodes,loss_of_appetite,mild_fever,malaise,itching,stomach_pain,,,,,,
Chicken pox,malaise,high_fever,lethargy,mild_fever,itching,phlegm,skin_rash,headache,loss_of_appetite,fatigue,red_spots_over_body,,,,,,
Chicken pox,mild_fever,skin_rash,phlegm,itching,red_spots_over_body,headache,swelled_lymph_nodes,polyuria,dark_urine,,,,,,,,
Chicken pox,phlegm,red_spots_over_body,mild_fever,fatigue,itching,skin_rash,loss_of_appetite,malaise,,,,,,,,,
Chicken pox,fatigue,lethargy,high_fever,itching,malaise,phlegm,mild_fever,skin_rash,headache,loss_of_appetite,dehydration,muscle_weakness,,,,,
Chicken pox,malaise,high_fever,swelled_lymph_nodes,fatigue,itching,headache,red_spots_over_body,phlegm,loss_of_appetite,inflammatory_nails,,,,,,,
Chicken pox,mild_fever,headache,swelled_lymph_nodes,phlegm,lethargy,itching,skin_rash,fatigue,,,,,,,,,
Chicken pox,red_spots_over_body,fatigue,loss_of_appetite,mild_fever,skin_rash,headache,high_fever,malaise,itching,lethargy,,,,,,,
Chicken pox,swelled_lymph_nodes,skin_rash,lethargy,phlegm,headache,red_spots_over_body,mild_fever,high_fever,fatigue,malaise,loss_of_appetite,blurred_and_distorted_vision,,,,,
Chicken pox,headache,malaise,loss_of_appetite,swelled_lymph_nodes,itching,high_fever,lethargy,mild_fever,phlegm,,,,,,,,
Chicken pox,swelled_lymph_nodes,red_spots_over_body,headache,itching,fatigue,lethargy,skin_rash,stiff_neck,,,,,,,,,
Chicken pox,lethargy,high_fever,loss_of_appetite,itching,skin_rash,fatigue,headache,swelled_lymph_nodes,red_spots_over_body,throat_irritation,yellow_crust_ooze,,,,,,
Chicken pox,fatigue,skin_rash,loss_of_appetite,malaise,itching,high_fever,lethargy,mild_fever,skin_peeling,,,,,,,,
Chicken pox,red_spots_over_body,itching,high_fever,phlegm,malaise,mild_fever,loss_of_appetite,muscle_weakness,belly_pain,,,,,,,,
Chicken pox,headache,high_fever,fatigue,swelled_lymph_nodes,itching,skin_rash,malaise,mild_fever,red_spots_over_body,weakness_of_one_body_side,pus_filled_pimples,,,,,,
Chicken pox,mild_fever,lethargy,high_fever,phlegm,swelled_lymph_nodes,fatigue,headache,itching,loss_of_appetite,red_spots_over_body,sunken_eyes,,,,,,
Chicken pox,skin_rash,phlegm,high_fever,lethargy,fatigue,red_spots_over_body,swelled_lymph_nodes,loss_of_appetite,,,,,,,,,
Chicken pox,phlegm,fatigue,headache,itching,swelled_lymph_nodes,lethargy,red_spots_over_body,increased_appetite,stomach_bleeding,,,,,,,,
Chicken pox,headache,swelled_lymph_nodes,lethargy,phlegm,malaise,high_fever,red_spots_over_body,loss_of_appetite,,,,,,,,,
Chicken pox,malaise,skin_rash,mild_fever,itching,fatigue,lethargy,high_fever,phlegm,swelled_lymph_nodes,scurring,abnormal_menstruation,,,,,,
Chicken pox,skin_rash,headache,high_fever,swelled_lymph_nodes,loss_of_appetite,fatigue,phlegm,itching,mild_fever,stiff_neck,,,,,,,
Chicken pox,itching,mild_fever,loss_of_appetite,malaise,lethargy,phlegm,skin_rash,red_spots_over_body,headache,fatigue,high_fever,sunken_eyes,,,,,
Chicken pox,mild_fever,itching,skin_rash,swelled_lymph_nodes,red_spots_over_body,fatigue,phlegm,loss_of_appetite,obesity,,,,,,,,
Chicken pox,lethargy,phlegm,loss_of_appetite,headache,fatigue,skin_rash,red_spots_over_body,itching,yellowish_skin,,,,,,,,
Chicken pox,itching,lethargy,swelled_lymph_nodes,malaise,mild_fever,skin_rash,high_fever,loss_of_appetite,irregular_sugar_level,abdominal_pain,,,,,,,
Chicken pox,loss_of_appetite,lethargy,headache,malaise,swelled_lymph_nodes,itching,mild_fever,high_fever,phlegm,red_spots_over_body,yellow_crust_ooze,altered_sensorium,,,,,
Chicken pox,fatigue,headache,malaise,red_spots_over_body,swelled_lymph_nodes,itching,phlegm,skin_rash,high_fever,puffy_face_and_eyes,fast_heart_rate,,,,,,
Chicken pox,fatigue,malaise,high_fever,red_spots_over_body,swelled_lymph_nodes,lethargy,loss_of_appetite,itching,phlegm,mild_fever,increased_appetite,indigestion,,,,,
Chicken pox,phlegm,mild_fever,skin_rash,itching,high_fever,headache,lethargy,red_spots_over_body,swelled_lymph_nodes,loss_of_appetite,stomach_pain,depression,,,,,
Chicken pox,fatigue,loss_of_appetite,phlegm,red_spots_over_body,mild_fever,itching,malaise,high_fever,,,,,,,,,
Chicken pox,loss_of_appetite,skin_rash,malaise,lethargy,fatigue,mild_fever,red_spots_over_body,swelled_lymph_nodes,itching,irritability,abnormal_menstruation,,,,,,
Chicken pox,loss_of_appetite,fatigue,phlegm,mild_fever,swelled_lymph_nodes,skin_rash,high_fever,itching,malaise,,,,,,,,
Chicken pox,red_spots_over_body,high_fever,phlegm,loss_of_appetite,headache,skin_rash,swelled_lymph_nodes,malaise,itching,indigestion,abnormal_menstruation,,,,,,
Chicken pox,phlegm,red_spots_over_body,lethargy,malaise,loss_of_appetite,high_fever,skin_rash,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,itching,lethargy,fatigue,phlegm,skin_rash,fluid_overload,,,,,,,,,
Chicken pox,swelled_lymph_nodes,loss_of_appetite,skin_rash,headache,itching,red_spots_over_body,high_fever,phlegm,fatigue,loss_of_balance,,,,,,,
Chicken pox,fatigue,loss_of_appetite,headache,skin_rash,lethargy,phlegm,red_spots_over_body,malaise,itching,mild_fever,swelled_lymph_nodes,,,,,,
Chicken pox,swelled_lymph_nodes,red_spots_over_body,mild_fever,headache,phlegm,loss_of_appetite,high_fever,malaise,itching,lethargy,pain_during_bowel_motions,abnormal_menstruation,,,,,
Chicken pox,swelled_lymph_nodes,skin_rash,mild_fever,red_spots_over_body,itching,headache,phlegm,loss_of_appetite,muscle_wasting,loss_of_balance,,,,,,,
Chicken pox,lethargy,itching,loss_of_appetite,high_fever,skin_rash,headache,mild_fever,fatigue,red_spots_over_body,malaise,spinning_movements,neck_pain,,,,,
Chicken pox,loss_of_appetite,itching,fatigue,malaise,headache,mild_fever,lethargy,skin_rash,spinning_movements,family_history,,,,,,,
Chicken pox,loss_of_appetite,swelled_lymph_nodes,mild_fever,red_spots_over_body,phlegm,itching,skin_rash,high_fever,slurred_speech,passage_of_gases,,,,,,,
Chicken pox,fatigue,swelled_lymph_nodes,red_spots_over_body,high_fever,itching,lethargy,phlegm,skin_rash,loss_of_appetite,headache,,,,,,,
Chicken pox,high_fever,malaise,skin_rash,swelled_lymph_nodes,phlegm,loss_of_appetite,itching,fatigue,lethargy,headache,mild_fever,foul_smell_of_urine,,,,,
Chicken pox,headache,loss_of_appetite,mild_fever,lethargy,high_fever,red_spots_over_body,fatigue,skin_rash,phlegm,itching,malaise,altered_sensorium,muscle_wasting,,,,
Chicken pox,skin_rash,high_fever,malaise,headache,phlegm,mild_fever,fatigue,red_spots_over_body,loss_of_appetite,itching,,,,,,,
Chicken pox,malaise,phlegm,red_spots_over_body,skin_rash,headache,swelled_lymph_nodes,itching,high_fever,fatigue,loss_of_appetite,abdominal_pain,,,,,,
Chicken pox,skin_rash,itching,red_spots_over_body,phlegm,headache,fatigue,lethargy,malaise,,,,,,,,,
